txn_id,timestamp,txn_date,hour_of_day,user_id,merchant_id,merchant_category,effective_mcc,amount,amount_flag,status,utr,utr_flag,customer_fk_valid,merchant_fk_valid
TXN00003742,2026-03-20 05:35:40,2026-03-20,5,USR92327,MCH8759,Restaurant,5812,20437.02,VALID_AMOUNT,SUCCESS,UTR3393354693,VALID_UTR,True,False
TXN00008492,2026-02-02 18:27:43,2026-02-02,18,USR54536,MCH8074,Telecom,4814,3384.6,VALID_AMOUNT,SUCCESS,UTR3320495895,VALID_UTR,False,True
TXN00016765,2026-03-26 12:18:46,2026-03-26,12,USR93890,MCH5711,Miscellaneous Retail,,20091.0,VALID_AMOUNT,FAILED,UTR9203187638,VALID_UTR,False,False
TXN00017694,2026-01-13 15:03:46,2026-01-13,15,USR40732,MCH9490,Grocery,5411,9002.0,VALID_AMOUNT,FAILED,UTR2443914333,RESCUED_UTR_SPACES_REMOVED,True,False
TXN00006528,2026-03-28 10:06:31,2026-03-28,10,USR29622,MCH4964,Department Store,5311,20882.75,VALID_AMOUNT,FAILED,UTR4641185560,VALID_UTR,True,True
TXN00013401,2026-03-04 18:19:19,2026-03-04,18,USR31880,MCH1798,Pharmacy,5912,24701.82,VALID_AMOUNT,SUCCESS,UTR8784371040,RESCUED_UTR_SPACES_REMOVED,False,False
TXN00004494,2026-02-24 12:34:51,2026-02-24,12,USR95466,MCH5376,Hotel & Lodging,7011,19908.13,VALID_AMOUNT,SUCCESS,UTR0075153514,VALID_UTR,False,True
TXN00011094,2026-03-05 11:29:40,2026-03-05,11,USR75900,MCH1058,Department Store,5311,8314.42,VALID_AMOUNT,SUCCESS,UTR9917244266,VALID_UTR,True,True
TXN00017273,2026-01-14 18:30:01,2026-01-14,18,USR76790,MCH6075,Transportation,4131,13085.0,VALID_AMOUNT,FAILED,UTR0709799346,VALID_UTR,True,True
TXN00009281,2026-02-21 00:15:01,2026-02-21,0,USR68024,MCH5104,Restaurant,5812,10455.06,VALID_AMOUNT,SUCCESS,UTR1967979496,VALID_UTR,False,False
TXN00006056,2026-01-18 14:04:37,2026-01-18,14,USR74396,MCH3197,Transportation,4131,12329.64,VALID_AMOUNT,SUCCESS,UTR9066186368,VALID_UTR,True,False
TXN00010147,2026-01-16 17:24:29,2026-01-16,17,USR91777,MCH4915,Transportation,4131,19600.29,VALID_AMOUNT,SUCCESS,UTR0387036525,VALID_UTR,True,False
TXN00008021,2026-02-13 00:38:19,2026-02-13,0,USR87162,MCH8216,Pharmacy,5912,12452.0,VALID_AMOUNT,SUCCESS,UTR6064791461,VALID_UTR,False,False
TXN00015299,2026-03-12 03:39:52,2026-03-12,3,USR81720,MCH9260,Restaurant,5812,,PARSE_ERROR,SUCCESS,UTR8680623402,VALID_UTR,False,False
TXN00012856,2026-03-16 23:45:31,2026-03-16,23,USR76098,MCH6109,Pharmacy,5912,5205.0,VALID_AMOUNT,FAILED,UTR9338335376,VALID_UTR,False,True
TXN00002230,2026-02-27 04:10:10,2026-02-27,4,USR41686,MCH3071,Restaurant,5812,7504.98,VALID_AMOUNT,SUCCESS,UTR9557966907,VALID_UTR,True,True
TXN00008304,2026-03-20 05:00:36,2026-03-20,5,USR95674,MCH5401,Department Store,5311,5379.22,VALID_AMOUNT,SUCCESS,UTR8910180483,VALID_UTR,True,True
TXN00002751,2026-01-08 18:34:26,2026-01-08,18,USR62352,MCH6961,Transportation,4131,9710.26,VALID_AMOUNT,SUCCESS,UTR2411349944,VALID_UTR,True,False
TXN00016154,2026-01-12 06:43:49,2026-01-12,6,USR24396,MCH4549,Hotel & Lodging,7011,7444.86,VALID_AMOUNT,SUCCESS,UTR9010745901,RESCUED_UTR_SPACES_REMOVED,True,False
TXN00002002,2026-02-02 21:46:04,2026-02-02,21,USR30273,MCH3715,Grocery,5411,,PARSE_ERROR,SUCCESS,UTR4088897098,RESCUED_UTR_SPACES_REMOVED,False,True
TXN00017871,2026-03-23 02:31:39,2026-03-23,2,USR84134,MCH7932,Grocery,5411,1129.96,VALID_AMOUNT,FAILED,UTR2897803833,RESCUED_UTR_SPACES_REMOVED,False,True
TXN00009906,2026-02-19 18:35:29,2026-02-19,18,USR91737,MCH9669,Hotel & Lodging,7011,,PARSE_ERROR,SUCCESS,UTR7243374821,VALID_UTR,False,False
TXN00012105,2026-02-11 21:01:18,2026-02-11,21,USR62385,MCH7681,Transportation,4131,7551.46,VALID_AMOUNT,SUCCESS,UTR8310520572,VALID_UTR,False,True
TXN00003363,2026-03-30 03:38:47,2026-03-30,3,USR87291,MCH4490,Pharmacy,5912,17312.05,VALID_AMOUNT,SUCCESS,UTR6688677473,VALID_UTR,False,True
TXN00004301,2026-03-15 01:52:40,2026-03-15,1,USR98963,MCH8511,Transportation,4131,,PARSE_ERROR,PENDING,UTR0403071756,VALID_UTR,True,True
TXN00012813,2026-01-09 06:36:33,2026-01-09,6,USR20191,MCH8936,Miscellaneous Retail,,7452.0,VALID_AMOUNT,SUCCESS,UTR9559448527,VALID_UTR,False,False
TXN00009678,2026-03-06 07:59:54,2026-03-06,7,USR64256,MCH3235,Hotel & Lodging,7011,1728.09,VALID_AMOUNT,SUCCESS,,MISSING_UTR,False,False
TXN00017971,2026-03-01 10:55:10,2026-03-01,10,USR62625,MCH9776,Restaurant,5812,1198.21,VALID_AMOUNT,SUCCESS,UTR7890902701,VALID_UTR,True,False
TXN00016152,2026-01-21 09:16:16,2026-01-21,9,USR20475,MCH5563,Grocery,5411,13950.77,VALID_AMOUNT,SUCCESS,UTR8762321453,VALID_UTR,False,True
TXN00011334,2026-03-29 13:01:14,2026-03-29,13,USR32767,MCH8033,Restaurant,5812,18247.02,VALID_AMOUNT,SUCCESS,UTR4892994283,VALID_UTR,True,True
TXN00012493,2026-03-20 10:23:23,2026-03-20,10,USR18021,MCH3684,Restaurant,5812,8404.49,VALID_AMOUNT,SUCCESS,UTR0110455957,VALID_UTR,True,True
TXN00002376,2026-02-02 00:00:00,2026-02-02,0,USR38437,MCH4578,Grocery,5411,6891.78,VALID_AMOUNT,SUCCESS,UTR5079845432,VALID_UTR,True,True
TXN00016897,2026-02-01 02:05:20,2026-02-01,2,USR67814,MCH5171,Transportation,4131,1728.83,VALID_AMOUNT,SUCCESS,UTR9272463214,VALID_UTR,False,True
TXN00003924,2026-02-09 22:29:17,2026-02-09,22,USR42819,MCH7536,Transportation,4131,,PARSE_ERROR,FAILED,UTR9885770586,VALID_UTR,False,True
TXN00012810,2026-01-28 00:00:00,2026-01-28,0,USR16089,MCH3478,Pharmacy,5912,14920.61,VALID_AMOUNT,SUCCESS,UTR2659964448,VALID_UTR,True,False
TXN00014604,2026-02-07 00:55:35,2026-02-07,0,USR90912,MCH3992,Transportation,4131,6800.75,VALID_AMOUNT,SUCCESS,UTR3515806131,VALID_UTR,True,False
TXN00008536,2026-01-30 07:20:31,2026-01-30,7,USR90160,MCH8495,Pharmacy,5912,8104.15,VALID_AMOUNT,SUCCESS,,MISSING_UTR,False,False
TXN00014556,2026-01-15 17:25:05,2026-01-15,17,USR81688,MCH2222,Pharmacy,5912,,PARSE_ERROR,SUCCESS,UTR4323114461,VALID_UTR,True,True
TXN00004965,2026-01-17 05:03:06,2026-01-17,5,USR65014,MCH3468,Transportation,4131,12070.2,VALID_AMOUNT,SUCCESS,UTR0153287222,VALID_UTR,True,True
TXN00012380,2026-03-29 17:51:12,2026-03-29,17,USR11339,MCH9899,Transportation,4131,22522.69,VALID_AMOUNT,SUCCESS,UTR5306302554,VALID_UTR,True,False
TXN00016736,2026-02-13 10:42:16,2026-02-13,10,USR86671,MCH1318,Grocery,5411,22925.42,VALID_AMOUNT,SUCCESS,UTR8483573352,VALID_UTR,False,True
TXN00006289,2026-02-18 07:48:57,2026-02-18,7,USR35502,MCH6411,Miscellaneous Retail,,24165.1,VALID_AMOUNT,SUCCESS,UTR8869496578,VALID_UTR,False,False
TXN00013908,2026-02-19 08:21:13,2026-02-19,8,USR13844,MCH6787,Grocery,5411,,PARSE_ERROR,SUCCESS,UTR5021961853,VALID_UTR,False,False
TXN00005968,2026-02-20 00:00:00,2026-02-20,0,USR20374,MCH9694,Grocery,5411,2195.0,VALID_AMOUNT,SUCCESS,UTR0092134543,VALID_UTR,True,False
TXN00010276,2026-01-14 14:05:26,2026-01-14,14,USR50541,MCH2324,Restaurant,5812,12011.12,VALID_AMOUNT,PENDING,UTR4772427896,VALID_UTR,False,False
TXN00006474,2026-01-16 05:40:02,2026-01-16,5,USR15164,MCH2258,Grocery,5411,24223.92,VALID_AMOUNT,FAILED,UTR6806916882,VALID_UTR,True,True
TXN00010498,2026-02-02 10:57:46,2026-02-02,10,USR80912,MCH8382,Transportation,4131,14757.01,VALID_AMOUNT,SUCCESS,UTR4263242407,VALID_UTR,False,False
TXN00014376,2026-03-07 04:27:25,2026-03-07,4,USR70302,MCH5376,Grocery,5411,20627.72,VALID_AMOUNT,SUCCESS,UTR2595478610,VALID_UTR,False,True
TXN00000489,2026-01-16 07:34:36,2026-01-16,7,USR16400,MCH8181,Hotel & Lodging,7011,23760.78,VALID_AMOUNT,SUCCESS,UTR6606633603,VALID_UTR,True,True
TXN00015714,2026-01-13 22:39:19,2026-01-13,22,USR28439,MCH5333,Restaurant,5812,21372.31,VALID_AMOUNT,SUCCESS,UTR6760441626,VALID_UTR,False,True
TXN00014711,2026-02-06 08:05:02,2026-02-06,8,USR90525,MCH9888,Grocery,5411,10222.36,VALID_AMOUNT,SUCCESS,UTR4063458835,VALID_UTR,False,True
TXN00018474,2026-02-04 14:40:14,2026-02-04,14,USR50590,MCH6271,Grocery,5411,10839.22,VALID_AMOUNT,SUCCESS,UTR4596136519,RESCUED_UTR_SPACES_REMOVED,True,False
TXN00000224,2026-03-01 03:00:12,2026-03-01,3,USR15259,MCH1799,Miscellaneous Retail,,9199.22,VALID_AMOUNT,SUCCESS,UTR2738330060,VALID_UTR,True,False
TXN00005633,2026-01-29 07:58:11,2026-01-29,7,USR69720,MCH9129,Hotel & Lodging,7011,4672.89,VALID_AMOUNT,SUCCESS,UTR4546388237,VALID_UTR,False,True
TXN00004328,2026-02-03 11:49:56,2026-02-03,11,USR19395,MCH4330,Transportation,4131,,PARSE_ERROR,SUCCESS,UTR7701194945,VALID_UTR,True,True
TXN00009685,2026-02-17 05:55:50,2026-02-17,5,USR48293,MCH3778,Hotel & Lodging,7011,13853.0,VALID_AMOUNT,SUCCESS,UTR0416062097,VALID_UTR,False,True
TXN00002724,2026-03-14 04:01:56,2026-03-14,4,USR74105,MCH2807,Grocery,5411,11455.31,VALID_AMOUNT,SUCCESS,UTR9017145438,VALID_UTR,False,False
TXN00012687,2026-01-21 02:49:51,2026-01-21,2,USR17936,MCH4330,Transportation,4131,15994.0,VALID_AMOUNT,SUCCESS,UTR9292098304,VALID_UTR,False,True
TXN00013883,2026-01-31 20:52:51,2026-01-31,20,USR66862,MCH5569,Pharmacy,5912,16368.07,VALID_AMOUNT,SUCCESS,UTR2460914781,VALID_UTR,False,True
TXN00010284,2026-02-07 17:53:38,2026-02-07,17,USR84713,MCH8033,Pharmacy,5912,20724.96,VALID_AMOUNT,SUCCESS,UTR9679708700,VALID_UTR,False,True
TXN00016950,2026-02-03 21:52:21,2026-02-03,21,USR92059,MCH5284,Pharmacy,5912,8732.0,VALID_AMOUNT,SUCCESS,UTR9637214589,VALID_UTR,False,False
TXN00001288,2026-03-31 16:52:07,2026-03-31,16,USR62469,MCH4709,Restaurant,5812,8772.17,VALID_AMOUNT,SUCCESS,UTR4380253542,VALID_UTR,False,True
TXN00018168,2026-02-26 18:15:26,2026-02-26,18,USR18484,MCH7007,Grocery,5411,14231.14,VALID_AMOUNT,SUCCESS,UTR0728524782,VALID_UTR,False,True
TXN00019686,2026-02-09 03:30:45,2026-02-09,3,USR18812,MCH4407,Restaurant,5812,12580.71,VALID_AMOUNT,SUCCESS,UTR6640964146,VALID_UTR,False,False
TXN00003100,2026-03-16 03:54:54,2026-03-16,3,USR57308,MCH7112,Grocery,5411,10845.23,VALID_AMOUNT,SUCCESS,UTR1936400434,VALID_UTR,True,False
TXN00004458,2026-01-14 17:23:21,2026-01-14,17,USR45841,MCH8118,Miscellaneous Retail,,3508.28,VALID_AMOUNT,SUCCESS,UTR4012895022,VALID_UTR,False,False
TXN00005596,2026-02-09 17:41:28,2026-02-09,17,USR14781,MCH9010,Miscellaneous Retail,,,PARSE_ERROR,SUCCESS,UTR7767785322,VALID_UTR,True,False
TXN00013560,2026-02-10 18:48:56,2026-02-10,18,USR52838,MCH2487,Hotel & Lodging,7011,,PARSE_ERROR,SUCCESS,UTR2505214559,VALID_UTR,True,True
TXN00005113,2026-01-20 22:08:15,2026-01-20,22,USR59091,MCH5481,Hotel & Lodging,7011,15023.8,VALID_AMOUNT,SUCCESS,UTR7885746162,VALID_UTR,False,False
TXN00004382,2026-02-09 07:49:44,2026-02-09,7,USR41359,MCH6188,Grocery,5411,1788.0,VALID_AMOUNT,FAILED,UTR3223727564,VALID_UTR,False,True
TXN00000501,2026-03-21 07:59:26,2026-03-21,7,USR89249,MCH6141,Transportation,4131,17457.06,VALID_AMOUNT,SUCCESS,UTR6418765672,VALID_UTR,False,False
TXN00015867,2026-02-03 09:51:32,2026-02-03,9,USR22510,MCH1710,Pharmacy,5912,19999.28,VALID_AMOUNT,SUCCESS,UTR4037860306,VALID_UTR,False,True
TXN00009000,2026-03-08 18:50:10,2026-03-08,18,USR50781,MCH4452,Miscellaneous Retail,,23299.28,VALID_AMOUNT,FAILED,UTR7035856587,VALID_UTR,True,False
TXN00015273,2026-02-25 21:26:11,2026-02-25,21,USR68103,MCH9191,Transportation,4131,9060.1,VALID_AMOUNT,SUCCESS,UTR3174009003,VALID_UTR,False,False
TXN00014299,2026-03-29 14:21:33,2026-03-29,14,USR65210,MCH2827,Grocery,5411,12535.81,VALID_AMOUNT,SUCCESS,UTR8506543282,RESCUED_UTR_SPACES_REMOVED,False,True
TXN00003270,2026-01-28 02:07:55,2026-01-28,2,USR15604,MCH4643,Restaurant,5812,17218.9,VALID_AMOUNT,FAILED,UTR3172822886,VALID_UTR,False,True
TXN00001731,2026-01-20 11:53:08,2026-01-20,11,USR32551,MCH1513,Restaurant,5812,7663.28,VALID_AMOUNT,SUCCESS,UTR5999659974,VALID_UTR,False,False
TXN00010729,2026-02-05 11:50:33,2026-02-05,11,USR15670,MCH7869,Restaurant,5812,,PARSE_ERROR,SUCCESS,UTR9532881220,VALID_UTR,False,False
TXN00016379,2026-02-02 12:14:35,2026-02-02,12,USR33003,MCH4564,Grocery,5411,13236.1,VALID_AMOUNT,SUCCESS,UTR0210719519,RESCUED_UTR_SPACES_REMOVED,True,False
TXN00019886,2026-02-27 11:51:21,2026-02-27,11,USR63295,MCH8082,Hotel & Lodging,7011,13247.83,VALID_AMOUNT,SUCCESS,,MISSING_UTR,False,True
TXN00013446,2026-03-09 16:11:52,2026-03-09,16,USR65132,MCH2804,Grocery,5411,22208.81,VALID_AMOUNT,SUCCESS,UTR9695047215,VALID_UTR,False,False
TXN00019919,2026-02-11 07:16:01,2026-02-11,7,USR28532,MCH4744,Hotel & Lodging,7011,21787.59,VALID_AMOUNT,SUCCESS,UTR5946059768,VALID_UTR,False,True
TXN00015848,2026-03-14 00:00:00,2026-03-14,0,USR47788,MCH8306,Grocery,5411,19340.0,VALID_AMOUNT,PENDING,UTR5491341754,VALID_UTR,True,True
TXN00012409,2026-02-11 08:41:30,2026-02-11,8,USR21890,MCH6790,Pharmacy,5912,24277.1,VALID_AMOUNT,SUCCESS,UTR6709219519,VALID_UTR,False,False
TXN00004601,2026-03-25 07:19:26,2026-03-25,7,USR12389,MCH1015,Restaurant,5812,-4973.8,REFUND_OR_REVERSAL_NEGATIVE,SUCCESS,UTR7964275007,RESCUED_UTR_SPACES_REMOVED,False,True
TXN00001022,2026-03-02 21:34:50,2026-03-02,21,USR50138,MCH1795,Hotel & Lodging,7011,7440.75,VALID_AMOUNT,SUCCESS,UTR4834151699,VALID_UTR,True,False
TXN00003957,2026-02-06 05:16:23,2026-02-06,5,USR20098,MCH1501,Pharmacy,5912,23162.33,VALID_AMOUNT,SUCCESS,UTR3598244387,VALID_UTR,False,True
TXN00005885,2026-02-05 18:19:19,2026-02-05,18,USR17338,MCH5199,Miscellaneous Retail,,12009.79,VALID_AMOUNT,SUCCESS,UTR6613055314,VALID_UTR,False,False
TXN00003161,2026-03-23 00:00:00,2026-03-23,0,USR25738,MCH5735,Hotel & Lodging,7011,11103.55,VALID_AMOUNT,FAILED,,MISSING_UTR,True,False
TXN00003183,2026-03-19 08:34:23,2026-03-19,8,USR83823,MCH6677,Transportation,4131,7752.07,VALID_AMOUNT,SUCCESS,UTR7232258080,VALID_UTR,False,True
TXN00005958,2026-03-28 22:37:35,2026-03-28,22,USR27388,MCH3069,Hotel & Lodging,7011,9224.44,VALID_AMOUNT,SUCCESS,UTR1270153526,RESCUED_UTR_SPACES_REMOVED,True,True
TXN00018600,2026-01-03 01:57:59,2026-01-03,1,USR52027,MCH9778,Restaurant,5812,6989.39,VALID_AMOUNT,SUCCESS,UTR1379778285,VALID_UTR,False,True
TXN00011473,2026-03-03 00:00:00,2026-03-03,0,USR28894,MCH8529,Grocery,5411,24964.02,VALID_AMOUNT,SUCCESS,UTR8038923106,VALID_UTR,False,True
TXN00009867,2026-03-09 00:58:30,2026-03-09,0,USR30052,MCH1367,Transportation,4131,10701.31,VALID_AMOUNT,SUCCESS,UTR2346819295,VALID_UTR,False,False
TXN00018096,2026-03-09 09:26:52,2026-03-09,9,USR49422,MCH2628,Department Store,,13326.81,VALID_AMOUNT,SUCCESS,UTR8557379697,RESCUED_UTR_SPACES_REMOVED,False,True
TXN00017701,2026-03-02 05:49:07,2026-03-02,5,USR36315,MCH4921,Hotel & Lodging,7011,19623.08,VALID_AMOUNT,SUCCESS,UTR6081235727,VALID_UTR,False,False
TXN00006531,2026-01-21 01:59:54,2026-01-21,1,USR58010,MCH1941,Restaurant,5812,13869.97,VALID_AMOUNT,SUCCESS,UTR3163046139,VALID_UTR,False,True
TXN00009761,2026-02-05 20:21:06,2026-02-05,20,USR26470,MCH3240,Grocery,5411,23132.36,VALID_AMOUNT,FAILED,UTR4257556463,VALID_UTR,False,True
TXN00003245,2026-03-06 07:06:01,2026-03-06,7,USR62662,MCH6418,Hotel & Lodging,7011,17556.63,VALID_AMOUNT,SUCCESS,UTR2892934019,VALID_UTR,False,True
TXN00006562,2026-03-22 13:46:10,2026-03-22,13,USR64443,MCH7071,Miscellaneous Retail,,,PARSE_ERROR,SUCCESS,UTR1599752498,VALID_UTR,False,False
TXN00002254,2026-03-12 14:54:58,2026-03-12,14,USR94428,MCH8149,Grocery,5411,20733.88,VALID_AMOUNT,SUCCESS,UTR8066942893,VALID_UTR,False,True
TXN00016290,2026-03-18 22:25:36,2026-03-18,22,USR21325,MCH5558,Transportation,4131,442.18,VALID_AMOUNT,SUCCESS,UTR7671258903,VALID_UTR,False,True
TXN00016796,2026-02-12 22:02:25,2026-02-12,22,USR80985,MCH6805,Pharmacy,5912,3687.47,VALID_AMOUNT,FAILED,UTR0030159658,VALID_UTR,False,True
TXN00010765,2026-01-06 06:54:03,2026-01-06,6,USR94871,MCH6302,Restaurant,5812,19884.0,VALID_AMOUNT,SUCCESS,UTR2028825714,VALID_UTR,False,True
TXN00019503,2026-02-22 01:00:03,2026-02-22,1,USR41382,MCH4223,Pharmacy,5912,15791.16,VALID_AMOUNT,SUCCESS,UTR6699377405,VALID_UTR,False,True
TXN00014716,2026-02-08 07:36:01,2026-02-08,7,USR49876,MCH2050,Hotel & Lodging,7011,3366.08,VALID_AMOUNT,SUCCESS,UTR1476775470,RESCUED_UTR_SPACES_REMOVED,True,False
TXN00006256,2026-02-23 03:15:37,2026-02-23,3,USR14015,MCH6029,Pharmacy,5912,13751.42,VALID_AMOUNT,SUCCESS,UTR2129646944,VALID_UTR,False,False
TXN00004895,2026-03-11 04:32:45,2026-03-11,4,USR47645,MCH2661,Pharmacy,5912,9676.31,VALID_AMOUNT,SUCCESS,UTR8070140615,VALID_UTR,False,False
TXN00013615,2026-02-12 13:50:51,2026-02-12,13,USR55054,MCH5778,Transportation,4131,12236.91,VALID_AMOUNT,PENDING,UTR3196969917,VALID_UTR,False,False
TXN00004390,2026-01-03 20:01:22,2026-01-03,20,USR82367,MCH2471,Transportation,4131,1111.0,VALID_AMOUNT,FAILED,UTR8049306447,RESCUED_UTR_SPACES_REMOVED,True,True
TXN00013135,2026-03-15 23:28:30,2026-03-15,23,USR62232,MCH5820,Restaurant,5812,16348.45,VALID_AMOUNT,SUCCESS,UTR0689397331,VALID_UTR,True,False
TXN00007764,2026-02-22 13:43:32,2026-02-22,13,USR45173,MCH9008,Grocery,5411,17835.91,VALID_AMOUNT,SUCCESS,UTR4303084605,VALID_UTR,False,True
TXN00006741,2026-02-22 13:01:20,2026-02-22,13,USR97470,MCH8566,Grocery,5411,4285.0,VALID_AMOUNT,SUCCESS,UTR2018087042,VALID_UTR,False,True
TXN00005667,2026-01-15 16:09:35,2026-01-15,16,USR82683,MCH4954,Restaurant,5812,17585.0,VALID_AMOUNT,SUCCESS,UTR1856107063,VALID_UTR,False,False
TXN00002573,2026-03-09 13:57:55,2026-03-09,13,USR45426,MCH7628,Transportation,4131,8044.18,VALID_AMOUNT,SUCCESS,UTR8379481246,VALID_UTR,True,True
TXN00008388,2026-01-10 08:17:36,2026-01-10,8,USR33183,MCH3234,Hotel & Lodging,7011,8337.71,VALID_AMOUNT,SUCCESS,UTR8271193431,VALID_UTR,False,True
TXN00001918,2026-01-17 22:01:23,2026-01-17,22,USR86997,MCH8289,Transportation,4131,14830.18,VALID_AMOUNT,FAILED,UTR0226310424,RESCUED_UTR_SPACES_REMOVED,False,True
TXN00006890,2026-03-31 04:30:36,2026-03-31,4,USR18653,MCH5002,Hotel & Lodging,7011,,PARSE_ERROR,SUCCESS,UTR4896759390,VALID_UTR,False,False
TXN00001877,2026-03-18 09:47:30,2026-03-18,9,USR68781,MCH7697,Grocery,5411,14762.79,VALID_AMOUNT,SUCCESS,UTR4828129667,VALID_UTR,False,False
TXN00012941,2026-03-15 12:02:44,2026-03-15,12,USR45922,MCH7221,Grocery,5411,7072.81,VALID_AMOUNT,SUCCESS,UTR1085355495,VALID_UTR,False,False
TXN00001855,2026-03-04 14:33:19,2026-03-04,14,USR51089,MCH4135,Hotel & Lodging,7011,22973.97,VALID_AMOUNT,SUCCESS,UTR9892348742,VALID_UTR,False,True
TXN00007710,2026-03-22 19:06:47,2026-03-22,19,USR26757,MCH2527,Hotel & Lodging,7011,21021.22,VALID_AMOUNT,SUCCESS,,MISSING_UTR,True,False
