complaint_id,txn_id,user_id,merchant_id,merchant_category,transaction_timestamp,reported_timestamp,bank_response_timestamp,reporting_delay_days,disputed_amount,amount_imputed,reason_category,complaint_text,severity,resolution_status,channel,txn_link_valid
CBK0000164,TXN00010786,USR79443,MCH3729,Grocery,2026-01-08 02:00:24,2026-01-18 00:00:00,2026-01-23 04:00:24,9.91638888888889,2135.0,True,Duplicate Debit & Billing,Payment made to unknown merchant as per customer statement.,Medium,CLOSED,Ivr,True
CBK0000681,TXN00006290,USR89588,MCH9105,Grocery,2026-01-28 00:00:00,2026-02-02 00:00:00,2026-02-28 00:00:00,5.0,11310.86,True,Duplicate Debit & Billing,Merchant service was not delivered after payment.,Low,REJECTED,Ivr,True
CBK0002683,TXN00004094,USR73891,MCH8154,Grocery,2026-01-08 00:00:00,2026-01-06 00:00:00,2026-01-21 00:00:00,-2.0,2519.45,False,Duplicate Debit & Billing,suspicious high-value payment disputed by customer.,High,IN_PROGRESS,Ivr,True
CBK0002792,TXN00005061,USR22154,MCH9022,Grocery,2026-02-28 13:16:03,2026-03-02 00:00:00,2026-03-30 00:00:00,1.4471875,1535.65,False,Fraud & Account Takeover,Customer says amount was debited twice.,High,REJECTED,Chatbot,True
CBK0000594,TXN00065742,USR32980,MCH7020,Department Store,2026-02-19 00:00:00,,2026-02-24 00:00:00,,470.0,False,Service & Delivery Failure,suspicious high-value payment disputed by customer.,Medium,CLOSED,Email,False
CBK0001247,TXN00003165,USR41524,MCH2342,Pharmacy,2026-01-04 00:00:00,2026-01-09 00:00:00,2026-02-03 00:00:00,5.0,2714.54,False,Fraud & Account Takeover,Suspicious high-value payment disputed by customer.,Medium,RESOLVED,Call Center,True
CBK0000566,TXN00000086,USR11727,MCH4948,Grocery,2026-02-23 00:00:00,2026-02-24 02:13:00,2026-03-15 00:00:00,1.0923611111111111,411.83,False,Fraud & Account Takeover,User says UPI PIN was not entered by them.,High,REJECTED,Chatbot,True
CBK0002764,TXN00014418,USR71468,MCH6403,Grocery,2026-03-03 00:00:00,2026-03-05 00:00:00,,2.0,1393.43,False,Service & Delivery Failure,customer complaint text unclear due to poor call center notes.,Medium,IN_PROGRESS,Email,True
CBK0000023,TXN00001464,USR92751,MCH2757,Grocery,2026-03-14 00:00:00,2026-04-13 00:00:00,2026-04-16 00:00:00,30.0,1112.83,False,Service & Delivery Failure,MERCHANT SERVICE WAS NOT DELIVERED AFTER PAYMENT.,Medium,RESOLVED,Ivr,True
CBK0000361,TXN00012527,USR24926,MCH7438,Grocery,2026-02-14 00:00:00,2026-02-16 18:13:57,,2.7596875,2311.0,False,Duplicate Debit & Billing,User claims account was compromised before transaction.,Low,CLOSED,Ivr,True
CBK0002544,TXN00018727,USR27888,MCH5076,Hotel & Lodging,2026-03-20 01:26:11,2026-03-25 00:00:00,2026-04-24 20:26:11,4.940150462962963,10161.06,False,Service & Delivery Failure,merchant service was not delivered after payment.,High,IN_PROGRESS,Chatbot,True
CBK0000430,TXN00018881,USR47299,MCH3382,Grocery,2026-02-11 03:20:31,2026-02-26 00:00:00,2026-03-23 06:20:31,14.860752314814814,2108.9,False,Fraud & Account Takeover,Merchant service was not delivered after payment. urgent,High,IN_PROGRESS,Ivr,True
CBK0001264,TXN00008143,USR92737,MCH4183,Restaurant,2026-03-22 17:21:29,2026-03-25 22:21:00,,3.2079976851851852,240.64,False,Fraud & Account Takeover,Merchant service was not delivered after payment.,Low,IN_PROGRESS,Ivr,True
CBK0001919,TXN00005826,USR72795,MCH2259,Hotel & Lodging,2026-01-31 00:00:00,2026-02-04 14:03:00,2026-02-08 00:00:00,4.585416666666666,1770.58,False,Fraud & Account Takeover,Merchant service was not delivered after payment.,Critical,REJECTED,Ivr,True
CBK0000069,TXN00002744,USR21384,MCH4252,Grocery,2026-01-15 01:24:40,,2026-02-11 00:00:00,,840.07,False,Service & Delivery Failure,USER CLAIMS ACCOUNT WAS COMPROMISED BEFORE TRANSACTION.,Critical,IN_PROGRESS,Email,True
CBK0001760,TXN00017025,USR79110,MCH1320,Hotel & Lodging,,2026-03-24 23:17:18,,,19735.18,True,Fraud & Account Takeover,user says upi pin was not entered by them.,Low,RESOLVED,Ivr,True
CBK0002232,TXN00009269,USR99886,MCH1941,Grocery,2026-01-26 19:24:45,2026-01-29 17:24:45,,2.9166666666666665,385.53,False,Service & Delivery Failure,Payment made to unknown merchant as per customer statement.,Medium,CLOSED,Chatbot,True
CBK0002798,TXN00066039,USR24087,MCH6965,Pharmacy,2026-01-14 00:00:00,2026-01-22 06:27:51,2026-02-09 00:00:00,8.269340277777777,1372.0,False,Service & Delivery Failure,User reports money deducted but merchant denies receiving payment.,Low,RESOLVED,Chatbot,False
CBK0000080,TXN00007630,USR70905,MCH7833,Grocery,2026-01-11 19:35:00,2026-01-12 06:35:00,2026-01-24 00:00:00,0.4583333333333333,963.14,False,Duplicate Debit & Billing,user claims account was compromised before transaction.,Low,IN_PROGRESS,Branch,True
CBK0000789,TXN00006632,USR56899,MCH7296,Miscellaneous Retail,2026-03-28 00:00:00,2026-04-03 00:00:00,,6.0,4124.85,False,Fraud & Account Takeover,Merchant service was not delivered after payment.,Low,IN_PROGRESS,Email,True
CBK0002564,TXN00013473,USR78994,MCH2383,Restaurant,2026-02-16 02:17:00,2026-02-26 00:00:00,2026-03-04 00:00:00,9.904861111111112,2485.28,False,Customer General Dispute,Customer says amount was debited twice.,Medium,IN_PROGRESS,Chatbot,True
CBK0000359,TXN00014970,USR35935,MCH3100,Transportation,,2026-02-20 00:00:00,2026-03-12 18:19:47,,3336.7,False,Fraud & Account Takeover,user reports money deducted but merchant denies receiving payment.,Medium,IN_PROGRESS,Chatbot,True
CBK0002003,TXN00015085,USR71636,MCH4256,Transportation,2026-01-16 00:00:00,2026-01-18 06:11:00,2026-02-09 00:00:00,2.2576388888888888,-956.46,False,Service & Delivery Failure,suspicious high-value payment disputed by customer.,Medium,IN_PROGRESS,App,True
CBK0002463,TXN00014364,USR87498,MCH4089,Grocery,2026-01-19 00:00:00,2026-01-21 17:18:16,2026-02-11 00:00:00,2.7210185185185187,2489.04,False,Fraud & Account Takeover,Customer says amount was debited twice.,Low,RESOLVED,Chatbot,True
CBK0001171,TXN00006955,USR26685,MCH3901,Pharmacy,,2026-02-16 16:57:27,2026-02-19 00:00:00,,1336.86,False,Fraud & Account Takeover,payment made to unknown merchant as per customer statement.,Low,IN_PROGRESS,Chatbot,True
CBK0002716,TXN00003119,USR34955,MCH8691,Restaurant,,2026-02-24 21:58:58,,,1198.29,False,Fraud & Account Takeover,Payment made to unknown merchant as per customer statement.,Low,CLOSED,Email,True
CBK0001839,TXN00004638,USR67862,MCH8953,Hotel & Lodging,2026-02-12 09:49:00,2026-02-12 11:49:00,2026-02-17 00:00:00,0.08333333333333333,1651.94,False,Duplicate Debit & Billing,User reports money deducted but merchant denies receiving payment.,High,IN_PROGRESS,Email,True
CBK0002314,TXN00014145,USR21162,MCH2383,Pharmacy,2026-03-09 00:00:00,2026-03-10 21:03:16,2026-04-07 00:00:00,1.8772685185185185,3888.0,False,Fraud & Account Takeover,Complaint received after multiple failed attempts.,Low,CLOSED,Ivr,True
CBK0000406,TXN00007974,USR33394,MCH3064,Hotel & Lodging,,2026-03-11 00:00:00,2026-03-20 06:27:39,,4101.89,False,Duplicate Debit & Billing,user claims account was compromised before transaction.,Low,IN_PROGRESS,Ivr,True
CBK0002718,TXN00013934,USR84084,MCH7370,Hotel & Lodging,2026-02-20 00:00:00,2026-03-22 23:15:17,2026-04-04 00:00:00,30.96894675925926,7727.87,False,Fraud & Account Takeover,User claims account was compromised before transaction.,Low,IN_PROGRESS,Ivr,True
CBK0002400,TXN00015733,USR87357,MCH9878,Restaurant,2026-01-22 00:00:00,2026-01-25 00:00:00,2026-02-22 00:00:00,3.0,2313.86,False,Fraud & Account Takeover,customer complaint text unclear due to poor call center notes.,Medium,CLOSED,Ivr,True
CBK0002758,,USR60667,MCH2383,Telecom,2026-03-23 06:19:08,2026-03-25 00:00:00,2026-04-13 00:00:00,1.736712962962963,1225.29,False,Fraud & Account Takeover,payment made to unknown merchant as per customer statement.,Medium,IN_PROGRESS,Branch,False
CBK0002250,TXN00008645,USR60783,MCH8613,Transportation,2026-01-12 12:57:11,2026-01-19 00:00:00,,6.460289351851852,5443.5,False,Fraud & Account Takeover,PAYMENT MADE TO UNKNOWN MERCHANT AS PER CUSTOMER STATEMENT.,High,CLOSED,Call Center,True
CBK0000661,TXN00012553,USR87727,MCH8876,Restaurant,2026-01-21 17:03:00,2026-01-23 00:00:00,2026-02-15 06:03:00,1.2895833333333333,901.62,False,Service & Delivery Failure,User claims account was compromised before transaction.,Low,RESOLVED,Ivr,True
CBK0001020,TXN00084758,USR36590,MCH1368,Miscellaneous Retail,2026-02-23 00:00:00,2026-02-26 00:00:00,2026-03-15 00:00:00,3.0,,False,Service & Delivery Failure,User says UPI PIN was not entered by them.,High,IN_PROGRESS,Ivr,False
CBK0002104,TXN00006293,USR48479,MCH8779,Pharmacy,2026-01-08 00:00:00,2026-01-19 00:00:00,,11.0,2214.27,False,Duplicate Debit & Billing,Complaint received after multiple failed attempts.,Low,REJECTED,Branch,True
CBK0002572,TXN00002760,USR49176,MCH2925,Restaurant,2026-01-15 14:26:16,2026-01-30 00:00:00,2026-02-09 00:00:00,14.398425925925926,1345.79,False,Fraud & Account Takeover,User says UPI PIN was not entered by them.,Low,RESOLVED,Ivr,True
CBK0000929,TXN00014710,USR38547,MCH5541,Transportation,2026-01-23 13:11:04,2026-02-03 12:11:04,2026-02-04 12:11:00,10.958333333333334,3089.13,False,Fraud & Account Takeover,Merchant service was not delivered after payment.,Medium,IN_PROGRESS,Ivr,True
CBK0002608,TXN00012654,USR13367,MCH8076,Hotel & Lodging,2026-03-29 04:01:37,,2026-04-24 19:01:00,,326.32,False,Fraud & Account Takeover,User claims account was compromised before transaction.,Low,RESOLVED,App,True
CBK0002430,TXN00019681,USR37650,MCH5655,Hotel & Lodging,2026-01-29 00:00:00,2026-02-04 00:00:00,2026-02-15 00:00:00,6.0,9661.7,False,Service & Delivery Failure,Customer says amount was debited twice.,High,RESOLVED,Ivr,True
CBK0002156,TXN00013206,USR11987,MCH6665,Restaurant,2026-01-24 09:52:00,2026-01-25 04:52:00,,0.7916666666666666,26477.69,False,Customer General Dispute,Complaint received after multiple failed attempts.,High,IN_PROGRESS,Email,True
CBK0000366,TXN00002078,USR73403,MCH5076,Grocery,2026-03-02 18:29:32,2026-03-04 00:00:00,,1.2294907407407407,6907.46,False,Duplicate Debit & Billing,Customer says transaction was not authorized.,Low,CLOSED,Call Center,True
CBK0000432,TXN00094213,USR96958,MCH7286,Miscellaneous Retail,2026-01-29 00:00:00,2026-02-01 00:00:00,2026-02-02 00:00:00,3.0,-1411.26,False,Fraud & Account Takeover,User reports money deducted but merchant denies receiving payment.,High,RESOLVED,Email,False
CBK0001972,TXN00001376,USR12133,MCH6555,Grocery,2026-02-01 02:24:08,2026-02-06 04:24:08,,5.083333333333333,1261.15,False,Service & Delivery Failure,Merchant service was not delivered after payment.,Medium,CLOSED,Chatbot,True
CBK0001250,TXN00015587,USR11697,MCH8741,Restaurant,2026-02-02 00:00:00,2026-02-05 00:00:00,,3.0,11364.57,False,Service & Delivery Failure,Complaint received after multiple failed attempts.,Low,IN_PROGRESS,App,True
CBK0001283,TXN00002013,USR31545,MCH5974,Restaurant,,2026-03-04 02:59:29,2026-03-28 00:00:00,,439.0,False,Fraud & Account Takeover,Suspicious high-value payment disputed by customer.,Medium,REJECTED,Call Center,True
CBK0000973,TXN00016040,USR25345,MCH3851,Hotel & Lodging,2026-02-04 00:00:00,2026-02-06 00:00:00,2026-03-07 00:00:00,2.0,3127.0,False,Fraud & Account Takeover,Complaint received after multiple failed attempts.,Low,IN_PROGRESS,Ivr,True
CBK0000578,TXN00006468,USR71457,MCH6810,Grocery,2026-01-09 11:52:43,2026-01-11 20:52:43,2026-01-13 00:00:00,2.375,7884.04,False,Fraud & Account Takeover,Suspicious high-value payment disputed by customer.,Low,IN_PROGRESS,Ivr,True
CBK0001696,TXN00019601,USR19556,MCH5844,Transportation,2026-03-08 00:00:00,2026-03-09 13:14:00,2026-04-03 00:00:00,1.551388888888889,9956.85,False,Fraud & Account Takeover,Suspicious high-value payment disputed by customer.,High,CLOSED,Chatbot,True
CBK0002333,TXN00002832,USR10042,MCH1611,Transportation,2026-03-02 13:26:00,2026-03-05 00:00:00,2026-04-04 00:00:00,2.4402777777777778,8214.17,False,Fraud & Account Takeover,Merchant service was not delivered after payment.,Medium,REJECTED,Ivr,True
CBK0001122,TXN00015275,USR61052,MCH8979,Restaurant,2026-03-07 00:00:00,2026-03-13 16:27:48,2026-04-11 16:27:48,6.685972222222222,320.53,False,Service & Delivery Failure,Complaint received after multiple failed attempts.,Medium,REJECTED,Ivr,True
CBK0000959,TXN00011129,USR50320,MCH6319,Grocery,2026-02-07 00:00:00,2026-03-09 11:52:00,,30.494444444444444,4888.42,False,Fraud & Account Takeover,User reports money deducted but merchant denies receiving payment.,Medium,CLOSED,Email,True
CBK0001968,,USR46599,MCH1320,Apparel,2026-03-21 00:00:00,2026-03-23 00:00:00,2026-04-13 03:36:00,2.0,2799.09,False,Customer General Dispute,Customer says amount was debited twice.,Medium,IN_PROGRESS,Email,False
CBK0001828,TXN00016623,USR59679,MCH8755,Transportation,2026-01-05 00:00:00,2026-01-15 08:21:37,2026-02-03 08:21:37,10.348344907407407,818.66,False,Fraud & Account Takeover,Customer says amount was debited twice. pls check asap,High,IN_PROGRESS,Branch,True
CBK0001654,TXN00012039,USR76792,MCH6492,Grocery,2026-02-05 00:00:00,2026-02-07 05:28:28,2026-02-22 05:28:00,2.228101851851852,966.0,False,Duplicate Debit & Billing,User reports money deducted but merchant denies receiving payment.,High,IN_PROGRESS,Call Center,True
CBK0002440,TXN00014010,USR71922,MCH6703,Pharmacy,2026-01-31 08:39:15,2026-02-01 08:39:00,,0.9998263888888889,1883.55,False,Fraud & Account Takeover,complaint received after multiple failed attempts.,High,IN_PROGRESS,Ivr,True
CBK0001278,TXN00008385,USR17657,MCH3542,Restaurant,2026-02-20 00:00:00,2026-04-06 00:00:00,,45.0,1944.27,False,Customer General Dispute,PAYMENT MADE TO UNKNOWN MERCHANT AS PER CUSTOMER STATEMENT.,Low,RESOLVED,Chatbot,True
CBK0002370,TXN00001816,USR24664,MCH3992,Pharmacy,2026-03-25 00:00:00,2026-03-26 19:41:41,2026-04-13 00:00:00,1.820613425925926,6501.45,False,Duplicate Debit & Billing,Payment made to unknown merchant as per customer statement.,Low,IN_PROGRESS,Call Center,True
CBK0001105,TXN00019695,USR34180,MCH6310,Grocery,2026-03-04 00:00:00,,,,1782.96,False,Duplicate Debit & Billing,User reports money deducted but merchant denies receiving payment.,Medium,IN_PROGRESS,Chatbot,True
CBK0000180,TXN00019503,USR70812,MCH3936,Pharmacy,2026-01-18 00:00:00,2026-01-22 00:00:00,2026-02-02 00:00:00,4.0,1537.27,False,Service & Delivery Failure,user claims account was compromised before transaction.,Low,IN_PROGRESS,Branch,True
CBK0000369,TXN00008758,USR86274,MCH3418,Transportation,2026-03-18 04:15:38,2026-03-20 15:15:38,,2.4583333333333335,11352.0,False,Fraud & Account Takeover,User says UPI PIN was not entered by them.,Medium,IN_PROGRESS,Ivr,True
CBK0002303,TXN00016593,USR96415,MCH1320,Hotel & Lodging,2026-01-11 00:00:00,2026-01-13 00:00:00,2026-01-22 01:23:48,2.0,6511.97,False,Fraud & Account Takeover,Customer complaint text unclear due to poor call center notes.,Medium,RESOLVED,Ivr,True
CBK0001525,TXN00004103,USR18453,MCH7793,Grocery,,2026-01-28 00:00:00,2026-02-01 00:00:00,,4864.83,False,Fraud & Account Takeover,User claims account was compromised before transaction.,Medium,CLOSED,Email,True
CBK0000316,TXN00016400,USR40842,MCH3815,Transportation,2026-03-18 00:00:00,2026-04-18 00:00:00,2026-05-03 00:00:00,31.0,1616.81,False,Duplicate Debit & Billing,COMPLAINT RECEIVED AFTER MULTIPLE FAILED ATTEMPTS.,Medium,RESOLVED,Chatbot,True
CBK0001238,TXN00006193,USR35817,MCH7061,Hotel & Lodging,2026-03-12 00:00:00,2026-03-13 00:00:00,2026-04-10 00:00:00,1.0,26207.56,False,Fraud & Account Takeover,Customer says amount was debited twice.,Low,IN_PROGRESS,App,True
CBK0002585,TXN00018187,USR23937,MCH4560,Restaurant,2026-03-24 00:00:00,2026-03-27 00:00:00,2026-04-14 14:38:55,3.0,1651.6,True,Fraud & Account Takeover,Customer complaint text unclear due to poor call center notes.,Medium,RESOLVED,Chatbot,True
CBK0001427,TXN00019824,USR76289,MCH5563,Pharmacy,2026-01-06 00:00:00,2026-02-05 00:00:00,2026-03-03 08:07:00,30.0,755.08,False,Service & Delivery Failure,Suspicious high-value payment disputed by customer.,Critical,REJECTED,Email,True
CBK0002514,TXN00001801,USR99493,MCH3992,Pharmacy,2026-03-12 14:53:38,,2026-03-19 00:00:00,,4455.8,False,Service & Delivery Failure,Customer says transaction was not authorized.,Low,IN_PROGRESS,Branch,True
CBK0001680,TXN00009645,USR11085,MCH7073,Transportation,2026-01-31 16:31:00,2026-02-02 00:00:00,,1.3118055555555554,3937.19,False,Service & Delivery Failure,Complaint received after multiple failed attempts.,Medium,IN_PROGRESS,Chatbot,True
CBK0002041,TXN00015934,USR69637,MCH2240,Grocery,,2026-03-24 00:00:00,2026-04-17 00:00:00,,1508.23,False,Customer General Dispute,Customer complaint text unclear due to poor call center notes.,High,CLOSED,Chatbot,True
CBK0002780,TXN00040959,USR75376,MCH4293,Miscellaneous Retail,2026-02-26 00:00:00,2026-03-13 00:00:00,,15.0,823.15,False,Service & Delivery Failure,User says UPI PIN was not entered by them.,High,IN_PROGRESS,Chatbot,False
CBK0000294,TXN00019876,USR55690,MCH6739,Miscellaneous Retail,,,2026-03-20 23:37:00,,2134.32,False,Duplicate Debit & Billing,CUSTOMER COMPLAINT TEXT UNCLEAR DUE TO POOR CALL CENTER NOTES.,Low,IN_PROGRESS,Ivr,True
CBK0002617,TXN00016671,USR60544,MCH7838,Grocery,2026-02-09 00:00:00,2026-02-24 00:00:00,2026-03-17 23:17:16,15.0,1587.1,False,Customer General Dispute,User claims account was compromised before transaction.,Low,REJECTED,Call Center,True
CBK0001175,TXN00061071,USR22543,MCH3116,Miscellaneous Retail,2026-02-04 15:43:17,2026-02-10 00:00:00,2026-02-22 11:43:00,5.344942129629629,,False,Customer General Dispute,customer says amount was debited twice.,Critical,IN_PROGRESS,Chatbot,False
CBK0001087,TXN00014733,USR20889,MCH5264,Pharmacy,2026-02-06 00:00:00,2026-02-06 00:00:00,,0.0,1558.23,False,Service & Delivery Failure,Suspicious high-value payment disputed by customer.,High,IN_PROGRESS,Call Center,True
CBK0002077,TXN00005419,USR55970,MCH9128,Pharmacy,2026-01-22 00:00:00,2026-01-30 00:00:00,2026-02-25 00:00:00,8.0,8383.0,False,Fraud & Account Takeover,Payment made to unknown merchant as per customer statement.,Low,REJECTED,Call Center,True
CBK0001820,TXN00007866,USR51854,MCH1450,Telecom,2026-02-21 00:00:00,2026-02-22 00:00:00,2026-03-23 19:57:00,1.0,-2477.45,False,Duplicate Debit & Billing,complaint received after multiple failed attempts.,Low,REJECTED,Email,True
CBK0001018,TXN00018348,USR13510,MCH1320,Transportation,2026-01-28 00:00:00,2026-02-13 05:26:28,2026-02-17 00:00:00,16.226712962962964,1207.49,False,Fraud & Account Takeover,Complaint received after multiple failed attempts.,Low,RESOLVED,App,True
CBK0001949,TXN00000319,USR60096,MCH4998,Pharmacy,2026-02-19 00:00:00,2026-02-24 00:00:00,2026-03-21 00:00:00,5.0,2189.0,False,Customer General Dispute,Customer says amount was debited twice.,Medium,IN_PROGRESS,Email,True
CBK0000860,TXN00007296,USR97580,MCH3701,Grocery,2026-02-04 00:00:00,,,,1425.61,False,Service & Delivery Failure,Suspicious high-value payment disputed by customer.,Medium,IN_PROGRESS,Chatbot,True
CBK0000879,TXN00018041,USR59366,MCH6145,Restaurant,2026-03-14 00:00:00,2026-03-24 00:00:00,2026-03-25 00:00:00,10.0,479.19,False,Fraud & Account Takeover,Customer complaint text unclear due to poor call center notes.,Low,IN_PROGRESS,Ivr,True
CBK0001383,TXN00005315,USR50648,MCH2822,Miscellaneous Retail,2026-03-06 00:00:00,2026-03-12 00:00:00,2026-03-27 05:23:46,6.0,819.89,False,Customer General Dispute,User reports money deducted but merchant denies receiving payment.,Low,IN_PROGRESS,Chatbot,True
CBK0001532,,USR52450,MCH6244,Hotel & Lodging,,2026-03-12 00:00:00,2026-03-30 00:00:00,,3174.58,False,Customer General Dispute,User reports money deducted but merchant denies receiving payment.,Low,REJECTED,Ivr,False
CBK0000448,TXN00013063,USR62513,MCH8391,Department Store,2026-02-14 00:00:00,,2026-02-17 10:59:00,,395.16,False,Service & Delivery Failure,Suspicious high-value payment disputed by customer.,Medium,REJECTED,Email,True
CBK0002336,TXN00014456,USR56287,MCH4473,Grocery,,2026-01-10 09:07:37,2026-02-05 00:00:00,,4534.17,False,Service & Delivery Failure,Merchant service was not delivered after payment.,Low,IN_PROGRESS,Email,True
